timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
200756,229.392,4.981171,8179983,-5,3,-1,1929,14.404,-5,-6,-10,-1415,1225,4449,1719,1796,2047,1812
209452,230.832,4.774364,8380739,-4,15,-4,1790,15.503,-5,24,2,-1366,1139,3370,1557,1741,1544,1686
190666,199.152,5.244774,8590191,-3,23,-3,1531,16.904,-1,16,-1,-867,721,-1083,1073,1104,1169,1170
239660,199.152,4.172578,8780857,-5,24,-1,1452,17.454,-5,15,-1,-269,727,-2862,896,914,1098,1004
160906,158.112,6.214809,9020517,-14,1,-1,1435,17.454,-15,4,3,-698,1398,-2436,853,851,1038,1056
200457,158.112,4.988601,9181423,-14,1,-1,1410,17.454,-13,4,2,-1024,1106,-2066,809,810,988,1000
200581,146.268,4.985517,9381880,-7,1,0,1409,17.498,-6,2,2,-1099,701,-1466,834,829,961,978
199786,126.288,5.005356,9582461,-4,0,0,1405,17.604,0,-3,0,-1175,521,-1082,856,837,968,909
240475,126.288,4.158436,9782247,-4,-3,0,1403,17.507,-4,-3,2,-1209,960,-849,832,796,965,962
160518,112.5,6.229831,1.002272e+07,-3,-22,0,1392,17.56,-2,-11,0,-1848,725,-556,786,835,896,952
199515,112.5,5.012154,1.018324e+07,-3,-20,0,1375,17.604,2,-14,-4,-2112,635,-588,758,806,897,877
200725,105.588,4.98194,1.038276e+07,-3,-14,0,1366,17.542,0,-12,-1,-2267,1120,-391,766,772,874,856
159442,100.332,6.271873,1.202511e+07,-92,19,78,1291,16.452,-57,11,43,-87,1432,3378,671,640,685,692
200428,132.156,4.989323,2.318711e+07,79,-3,-55,1366,16.018,48,-1,-23,-305,-2801,3842,804,901,776,787
200760,148.572,4.981072,2.338754e+07,69,-10,-52,1357,16.071,48,-6,-28,-361,-2778,3721,771,959,780,679
200558,167.184,4.986089,2.35883e+07,67,-10,-48,1340,16.035,43,-10,-36,-320,-2695,3345,674,961,850,582
229441,186.372,4.358419,2.378886e+07,67,-10,-60,1330,16.053,45,-7,-34,-321,-2488,3154,713,882,784,609
160689,186.372,6.223201,2.40183e+07,67,-7,-61,1329,16.177,46,-3,-40,-406,-2496,3173,694,932,810,542
10118,203.04,98.83376,2.417899e+07,67,-3,-63,1324,16.089,42,-1,-39,-556,-2547,3232,664,889,790,594
199581,214.416,5.010497,2.418911e+07,67,-3,-63,1323,16.106,40,-3,-32,-491,-2542,3198,723,820,761,630
200393,221.508,4.990194,2.438869e+07,67,0,-65,1321,16.221,42,-2,-41,-374,-2525,3085,659,890,785,586
200457,226.44,4.988601,2.458908e+07,71,0,-65,1321,16.097,46,0,-36,-297,-2446,3115,702,865,729,624
230163,229.176,4.344747,2.478954e+07,61,0,-57,1330,16.204,37,2,-31,-262,-2436,3284,686,851,753,700
160523,231.012,6.229637,2.50197e+07,63,0,-57,1330,16.133,42,1,-28,-230,-2455,3254,773,850,704,662
209828,231.012,4.765808,2.518022e+07,65,1,-57,1327,16.204,41,-2,-30,-235,-2424,3225,761,817,729,658
200419,233.1,4.989547,2.539005e+07,70,4,-57,1326,16.115,45,1,-36,-202,-2434,3254,690,892,739,638
200483,233.532,4.987954,2.559047e+07,67,4,-57,1326,16.133,47,2,-35,-377,-2467,3242,738,875,711,635
230106,232.74,4.345823,2.579095e+07,67,3,-61,1321,16.124,43,5,-42,-754,-2396,3245,676,869,766,608
169937,221.868,5.884534,2.602106e+07,72,3,-63,1321,16.097,40,0,-32,-112,-2437,3133,743,793,688,696
200596,206.928,4.985144,2.6191e+07,78,5,-63,1321,16.151,52,5,-31,-70,-2313,3198,730,771,712,706
190301,193.212,5.254833,2.639159e+07,80,8,-63,1321,16.151,56,9,-29,-188,-2309,3235,737,799,662,721
200295,193.212,4.992636,2.658189e+07,84,12,-63,1321,16.204,52,9,-42,-88,-2324,3299,633,850,749,688
239540,178.848,4.174668,2.678219e+07,92,15,-61,1321,16.115,56,10,-37,-20,-2334,3300,662,800,745,713
160500,149.832,6.23053,2.702173e+07,92,7,-61,1321,16.133,62,7,-41,-50,-2560,3272,642,848,745,685
199703,149.832,5.007436,2.718223e+07,89,4,-61,1321,16.248,57,9,-39,54,-2154,3470,642,852,739,687
201363,139.356,4.966156,2.738193e+07,88,3,-63,1321,16.115,56,-4,-35,-230,-2486,3505,715,808,705,691
199541,130.86,5.011501,2.758329e+07,89,4,-63,1321,16.151,60,14,-28,63,-1961,3537,711,800,639,770
