timens,GPSnumSat,GPScoord0,GPScoord1,GPSaltitude,GPSspeedms,GPSgroundcourse,loopIteration,axisP0,axisP1,axisP2,axisI0,axisI1,axisI2,axisD0,axisD1,axisD2,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,rssi,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3,flightModeFlagsflags,stateFlagsflags,failsafePhaseflags,rxSignalReceived,rxFlightChannelsValid,acceleration_G
0D00:02:46.126039000,18,1.329333,103.7861,24,4.36,29.6,95488,0,0,0,7,-1,13,0,0,0,1,0,-7,2000,1.427,1023,3,0,-4,-4070,-1726,-7455,2005,1941,1977,2047,,,,1,1,0.09433689
0D00:00:54.889724000,19,1.329409,103.7861,25,0.08,135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9071259
0D00:00:55.112711000,19,1.329409,103.7861,25,0.08,135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001818446
0D00:00:55.383376000,19,1.329409,103.7861,25,0.03,135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008277217
0D00:00:55.513107000,19,1.329408,103.7861,25,0.01,135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001322436
0D00:00:55.713415000,19,1.329408,103.7861,25,0.05,135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001020938
0D00:00:55.914178000,19,1.329408,103.7861,25,0.07,135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00143256
0D00:00:56.114308000,19,1.329406,103.7861,26,0.4,135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008160245
0D00:00:56.294406000,18,1.329406,103.7861,26,1.59,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0291902
0D00:00:56.394292000,18,1.329402,103.7861,26,1.59,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01618947
0D00:00:56.514489000,18,1.329396,103.7861,27,2.74,200.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03357184
0D00:00:56.694221000,19,1.329396,103.7861,27,4.61,197.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08446122
